artist,track,audio_features_danceability,audio_features_energy,audio_features_key,audio_features_loudness,audio_features_mode,audio_features_speechiness,audio_features_acousticness,audio_features_instrumentalness,audio_features_liveness,audio_features_valence,audio_features_tempo,audio_features_duration_ms,audio_features_time_signature
Fergie,Fergalicious,0.829,0.607,1,-3.876,1,0.0897,0.0049,0,0.0986,0.766,120.044,187067,4
B.o.B,Airplanes (feat. Hayley Williams of Paramore),0.72,0.861,11,-4.339,1,0.209,0.269,5.11e-06,0.601,0.669,126.991,200013,4
Kesha,Your Love Is My Drug,0.827,0.821,3,-5.864,1,0.0419,0.00748,0.0015,0.115,0.684,122.017,220627,4
Nicki Minaj,Super Bass,0.56,0.959,7,-2.433,1,0.102,0.000738,0.000206,0.209,0.67,163.983,216600,4
Lady Gaga,Telephone,0.781,0.745,4,-5.81,0,0.0332,0.198,1.14e-05,0.36,0.326,129.998,269493,4
Avril Lavigne,Girlfriend,0.633,0.673,6,-6.403,0,0.258,0.297,0,0.206,0.659,86.776,211160,4
Usher,OMG (feat. will.i.am),0.195,0.264,3,-8.441,1,0.0304,0.703,3.08e-06,0.106,0.103,138.357,239667,4
Travie McCoy,Billionaire (feat. Bruno Mars),0.447,0.24,3,-14.471,1,0.0296,0.809,0.00397,0.122,0.355,81.341,209325,4
David Phelps,As The Deer,0.385,0.157,2,-14.672,1,0.0319,0.859,1.98e-06,0.105,0.364,74.307,223882,3
David Potter,Nothing But the Blood,0.455,0.326,5,-11.625,0,0.0323,0.934,0.000281,0.11,0.242,105.722,295053,4
David Potter,Come Thou Fount,0.578,0.256,9,-11.469,1,0.0277,0.921,0.000151,0.103,0.368,81.22,171187,4
Wilder Adkins,How Deep the Father's Love For Us,0.601,0.402,6,-10.138,1,0.0259,0.36,0,0.0872,0.282,144.868,287493,4
Wilder Adkins,I Have Decided,0.709,0.914,9,-2.973,1,0.0668,0.248,0,0.118,0.639,112.019,127973,4
Robbie Seay Band,Come Ye Sinners,0.473,0.213,10,-12.954,1,0.0371,0.92,0.0788,0.115,0.556,115.843,190880,4
Quiz Worx,O Magnify the Lord,0.348,0.398,11,-8.623,0,0.0285,0.164,0,0.104,0.118,152.524,366093,4
My Epic,doxology,0.24,0.698,7,-9.056,1,0.0728,0.0284,4.43e-05,0.144,0.478,163.636,233428,3
Citizens,I Surrender All,0.64,0.496,11,-11.905,1,0.0508,0.0333,7.46e-05,0.225,0.228,100.945,314073,4
Kings Kaleidoscope,Be Thou My Vision,0.681,0.643,5,-6.967,1,0.0296,0.0787,0.000271,0.233,0.492,116.288,326908,4
A New Liturgy,This Is My Father's World,0.431,0.34,11,-10.316,1,0.0275,0.472,0.0034,0.115,0.181,80.044,189399,4
A New Liturgy,For the Beauty of the Earth,0.323,0.0371,7,-23.069,1,0.0444,0.992,0.945,0.0976,0.202,77.488,237973,4
Audrey Assad,"Holy, Holy, Holy",0.514,0.0349,2,-20.247,1,0.0464,0.994,0.926,0.102,0.226,113.978,144533,4
The O'Neill Brothers Group,All in All,0.464,0.587,7,-7.794,1,0.0275,0.28,4.93e-05,0.131,0.327,142.918,213092,3
David Bauer,As the Deer,0.236,0.138,0,-14.113,1,0.0301,0.746,0,0.679,0.202,72.736,140267,4
Landon Ditto,Isaiah 43,0.419,0.93,7,-3.684,1,0.0632,0.027,0,0.304,0.751,189.886,181293,4
Nonoy Zuniga,Seek Ye First,0.516,0.514,7,-7.795,1,0.0304,0.0298,0,0.15,0.413,143.026,358699,4
Petra,"Lord, I Lift Your Name On High - Petra Praise 2: We Need Jesus Album Version",0.4,0.736,11,-4.304,1,0.0419,0.0356,0,0.687,0.411,78.397,172000,4
Aaron Keyes,And Can It Be (Live),0.5,0.267,2,-10.183,1,0.0309,0.943,0,0.122,0.504,131.226,191000,4
Indelible Grace Music,O Love That Will Not Let Me Go (Live),0.594,0.362,2,-10.305,1,0.0257,0.593,1.25e-05,0.367,0.374,132.051,241000,4
Galkin Evangelistic Team,The Church's One Foundation,0.676,0.542,2,-8.642,1,0.0262,0.053,0,0.111,0.628,107.065,263613,4
Indelible Grace Music,For All the Saints [Dan Haseltine],0.59,0.8,2,-8.165,0,0.0548,0.481,0.00023,0.0815,0.244,122.059,283280,4
Jars Of Clay,Let Us Love and Sing and Wonder,0.34,0.647,4,-7.904,1,0.0417,0.0588,0.000738,0.71,0.439,140.703,327973,4
Keith & Kristyn Getty,Come Ye Sinners / Musical Priest - Medley,0.509,0.0337,0,-19.868,1,0.0386,0.912,3.31e-06,0.1,0.221,81.361,151787,4
Indelible Grace Music,On Jordan's Stormy Banks (Live),0.378,0.239,4,-6.942,1,0.0392,0.867,0,0.351,0.302,81.973,124312,5
Daniel Martin Moore,It Is Well With My Soul,0.378,0.187,10,-14.542,1,0.0314,0.914,1.42e-06,0.144,0.319,78.018,140867,4
Anthem Lights,Doxology (feat. Selah),0.713,0.233,11,-12.43,1,0.0501,0.866,1.44e-05,0.223,0.381,123.04,283147,3
The Praise Baby Collection,As The Deer,0.35,0.226,9,-12.637,0,0.0292,0.746,4.87e-06,0.0826,0.236,76.821,224720,3
Sufjan Stevens,Come Thou Fount of Every Blessing,0.326,0.417,7,-7.637,1,0.0296,0.774,0,0.0809,0.383,142.848,236213,4
Kings (MHM),Jesus Paid It All,0.435,0.415,1,-11.41,0,0.0305,0.0902,0.0635,0.0852,0.138,115.013,253520,4
Sojourn,Before The Throne Of God Above,0.463,0.499,6,-6.659,1,0.0281,0.0443,0,0.0874,0.0804,128.07,403053,3
Page CXVI,'tis So Sweet To Trust In Jesus,0.676,0.335,5,-10.85,1,0.0378,0.844,2.47e-06,0.0743,0.271,87.827,248960,3
Ascend The Hill,Be Thou My Vision,0.325,0.0176,2,-23.988,1,0.0464,0.888,0.0549,0.116,0.187,79.321,206600,3
Sufjan Stevens,Amazing Grace,0.23,0.69,7,-5.495,1,0.037,0.00129,0.00878,0.103,0.182,138.371,284840,3
Daniel Martin Moore,Softly and Tenderly,0.655,0.768,4,-5.616,1,0.0365,0.385,0.000257,0.0733,0.431,92.021,180360,4
Kings (MHM),In Christ Alone,0.821,0.759,8,-8.541,1,0.121,0.247,0,0.321,0.962,140.01,185143,4
Dierks Bentley,Different For Girls,0.782,0.479,3,-7.972,0,0.516,0.239,0,0.297,0.758,77.575,175069,4
Silentó,Watch Me (Whip / Nae Nae),0.505,0.68,7,-4.993,1,0.0714,0.0796,0,0.0465,0.539,168.022,235653,3
Hoodie Allen,Play the Field,0.835,0.571,8,-4.771,0,0.102,0.0716,0,0.0604,0.902,138.038,330600,4
The Weeknd,In The Night,0.781,0.8,3,-5.185,0,0.173,0.0438,0,0.244,0.47,146.007,239962,4
R. Kelly,I'm a Flirt Remix (feat. T.I. & T-Pain),0.311,0.325,2,-9.042,1,0.0283,0.0469,0,0.139,0.668,65.09,208467,1
Andy Mineo,You Can't Stop Me,0.496,0.388,8,-14.177,1,0.0382,0.787,0.939,0.167,0.694,81.772,185453,4
The Beatles,Lucy In The Sky With Diamonds - Remastered 2009,0.504,0.845,5,-7.799,0,0.0938,0.0139,0.0419,0.359,0.736,159.508,224133,4
Vince Guaraldi Trio,Linus And Lucy,0.777,0.818,11,-5.64,1,0.0462,0.0906,2.98e-05,0.714,0.847,118.405,312413,4
The Rolling Stones,Paint It Black,0.749,0.745,2,-10.625,1,0.164,0.000501,0.00403,0.333,0.481,101.972,195107,4
Michael Jackson,Thriller - Single Version,0.311,0.257,2,-9.779,1,0.031,0.635,0,0.162,0.138,75.336,198667,4
Kris Kross,Jump,0.807,0.83,4,-4.04,1,0.0367,0.0444,0.000358,0.0842,0.954,128.501,203267,4
Journey,Open Arms,0.696,0.943,4,-2.962,1,0.043,0.0736,0,0.653,0.832,129.002,194867,4
Men At Work,Who Can It Be Now?,0.709,0.824,1,-8.824,1,0.0453,0.207,0.000307,0.0888,0.867,118.814,291293,4
Billy Joel,Uptown Girl,0.692,0.711,0,-7.498,0,0.0317,0.225,0,0.12,0.875,125.135,216933,4
Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),0.776,0.867,3,-3.704,0,0.0479,0.0495,7.92e-06,0.197,0.918,138.827,258040,4
Eurythmics,Sweet Dreams (Are Made of This) - Remastered,0.74,0.848,2,-6.437,1,0.144,0.0781,0,0.375,0.802,113.381,186093,4
Michael Jackson,Beat It,0.701,0.576,9,-9.328,1,0.0298,0.195,0.000252,0.049,0.695,92.781,296400,4
The Clash,Should I Stay or Should I Go - Remastered,0.737,0.569,5,-6.702,1,0.0552,0.261,0.308,0.046,0.912,167.202,190707,4
TOTO,Africa,0.822,0.478,1,-8.746,1,0.0343,0.559,0.0073,0.0813,0.722,117.394,251573,4
Daryl Hall & John Oates,You Make My Dreams (Come True),0.724,0.436,0,-9.321,1,0.0282,0.576,1.19e-06,0.0908,0.324,130.439,243067,4
The Police,Every Breath You Take,0.887,0.48,11,-11.994,1,0.117,0.0094,3.58e-05,0.0662,0.607,95.846,193200,4
Cyndi Lauper,Time After Time,0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0153,0.036,0.847,117.046,293827,4
George Michael,Faith - Remastered,0.527,0.942,1,-5.64,0,0.0366,0.0115,0,0.188,0.495,148.723,241307,4
Michael Jackson,Billie Jean,0.59,0.868,5,-5.832,0,0.048,0.0962,0.000322,0.442,0.798,184.348,230640,4
Bruce Springsteen,Dancing In the Dark,0.741,0.808,11,-4.367,0,0.026,0.0914,0.0147,0.0488,0.908,107.234,223760,4
The Pointer Sisters,I'm So Excited,0.785,0.671,5,-7.047,1,0.0267,0.176,6.45e-05,0.0955,0.95,113.805,244440,4
Men At Work,Down Under,0.898,0.271,7,-12.238,1,0.091,0.0135,0.00138,0.0461,0.742,111.485,226240,4
Billy Ocean,Caribbean Queen (No More Love On the Run),0.727,0.685,11,-7.159,0,0.0398,0.0351,4.43e-05,0.0973,0.812,88.75,271893,4
Prince,Kiss,0.542,0.915,9,-9.637,1,0.0549,0.319,5.34e-05,0.171,0.92,159.81,175400,4
Daryl Hall & John Oates,Maneater,0.769,0.867,2,-7.436,1,0.0545,0.06,0.000562,0.0432,0.962,157.874,158640,4
The Romantics,What I Like About You,0.695,0.976,8,-6.982,1,0.0428,0.0262,2.41e-05,0.182,0.937,113.357,212400,4
DEVO,Whip It,0.544,0.897,3,-6.056,0,0.0471,0.241,0,0.13,0.647,157.17,215133,4
Rick Astley,Never Gonna Give You Up,0.306,0.722,0,-5.963,1,0.034,0.0519,0,0.117,0.41,174.732,200293,4
Kenny Loggins,"Danger Zone - From ""Top Gun"" Original Soundtrack",0.607,0.795,0,-5.137,1,0.0496,0.0986,0,0.059,0.815,81.298,232280,4
REO Speedwagon,Keep on Loving You,0.555,0.757,1,-7.868,0,0.0601,0.103,1.16e-06,0.0631,0.582,129.607,221840,4
Wham!,Wake Me Up Before You Go-Go - Remastered,0.584,0.833,11,-5.824,1,0.0358,0.000265,0.00595,0.32,0.671,124.018,254347,4
The Outfield,Your Love,0.537,0.815,2,-6.208,1,0.0348,0.000418,0.807,0.194,0.691,145.424,219907,4
Scorpions,Rock You Like a Hurricane - 2011,0.622,0.845,1,-5.984,1,0.0324,0.117,0,0.0984,0.718,132.747,211467,4
A Flock Of Seagulls,I Ran,0.554,0.851,6,-10.526,0,0.0334,0.006,0.0242,0.405,0.96,128.103,196800,4
Eddie Money,Take Me Home Tonight,0.554,0.783,6,-5.852,1,0.0457,0.416,1.54e-06,0.631,0.813,105.39,162467,4
Dead Or Alive,You Spin Me Round (Like a Record),0.901,0.654,10,-10.15,1,0.0655,0.2,0,0.165,0.781,110.131,180240,4
Dolly Parton,9 to 5,0.767,0.712,1,-4.128,0,0.0324,0.0409,8.08e-05,0.132,0.804,124.092,237760,4
Matthew Wilder,Break My Stride,0.643,0.801,6,-4.921,1,0.0228,0.0298,0,0.0719,0.534,95.988,270333,4
Rockwell,Somebody's Watching Me - Single Version,0.838,0.664,6,-9.176,1,0.0445,0.202,0.000146,0.621,0.929,119.6,273413,4
Starship,Nothing's Gonna Stop Us Now,0.777,0.725,5,-9.012,1,0.047,0.126,0.0108,0.0917,0.851,128.349,276360,4
Whitney Houston,How Will I Know,0.742,0.883,0,-3.419,1,0.0329,0.333,7.51e-06,0.0964,0.978,136.506,240280,4
Paul Simon,You Can Call Me Al,0.72,0.967,9,-4.434,0,0.0343,0.0289,0.000345,0.142,0.977,129.766,235093,4
Madonna,Material Girl,0.526,0.924,7,-5.591,1,0.0391,0.027,0.000728,0.598,0.793,147.28,220707,4
The Romantics,Talking In Your Sleep,0.697,0.665,6,-12.907,0,0.0412,0.0476,0.00665,0.0796,0.485,108.535,289680,4
Loverboy,Working for the Weekend,0.738,0.921,0,-4.908,1,0.124,0.33,2.09e-06,0.066,0.668,125.436,246693,4
Bill Medley,(I've Had) The Time of My Life,0.797,0.872,9,-6.727,0,0.0575,0.291,0,0.284,0.866,129.885,222427,4
Aretha Franklin,Freeway of Love - Single Mix,0.735,0.645,11,-8.147,0,0.0273,0.277,0,0.458,0.881,106.753,266147,4
The Clash,Rock the Casbah - Remastered,0.652,0.634,9,-9.914,1,0.0261,0.566,1.08e-06,0.15,0.674,114.681,211227,4
Wham!,Last Christmas,0.497,0.719,6,-9.397,1,0.0266,0.0613,0,0.411,0.547,95.769,255733,4
Roy Orbison,You Got It,0.724,0.891,11,-7.818,1,0.0995,0.00344,4.72e-05,0.3,0.818,103.022,204707,4
Berlin,"Take My Breath Away - Love Theme from ""Top Gun""",0.761,0.711,9,-7.989,1,0.0604,0.0174,0.000101,0.0652,0.947,105.448,310387,4
The Bangles,Walk Like an Egyptian,0.86,0.705,10,-12.514,0,0.0894,0.107,8.87e-06,0.149,0.854,134.395,262618,4
Run–D.M.C.,Walk This Way (feat. Aerosmith),0.742,0.657,0,-7.589,1,0.181,0.0958,1.97e-06,0.0895,0.589,140.804,177267,4
The Pointer Sisters,Jump (For My Love),0.691,0.812,0,-7.772,1,0.0558,0.0433,1.16e-06,0.299,0.685,127.568,220627,4
Billy Joel,It's Still Rock and Roll to Me,0.754,0.496,0,-8.7,1,0.0351,0.00539,0.000152,0.0871,0.341,119.186,258173,4
Duran Duran,Hungry Like the Wolf - 2009 Remaster,0.787,0.588,6,-14.228,0,0.0355,0.0192,0.0205,0.347,0.803,115.513,245600,4
Midnight Oil,Beds Are Burning - Remastered,0.768,0.829,5,-5.109,1,0.0313,0.0964,2.92e-05,0.097,0.962,118.773,234333,4
Ray Parker Jr.,Ghostbusters,0.62,0.446,1,-14.451,0,0.0347,0.589,0.0299,0.0727,0.868,88.591,155880,4
Huey Lewis & The News,The Power Of Love,0.686,0.649,7,-12.935,1,0.0642,0.00623,0.0625,0.0592,0.76,109.984,164533,4
Bruce Springsteen,I'm On Fire,0.577,0.665,5,-5.572,1,0.0285,0.312,8.89e-05,0.138,0.305,101.807,228800,4
Bow Wow Wow,I Want Candy,0.435,0.658,8,-8.179,1,0.0661,0.195,0,0.102,0.184,130.276,269787,4
Steve Perry,Oh Sherrie,0.486,0.83,3,-10.815,1,0.037,0.0104,0.000475,0.0635,0.652,151.869,188533,4
Bonnie Tyler,Total Eclipse of the Heart,0.643,0.627,8,-10.972,1,0.0405,0.00773,0.00259,0.123,0.725,114.477,248587,4
Eddie Money,Think I'm In Love,0.532,0.767,7,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361,210173,4
David Bowie,Let's Dance - Single Version [Remastered],0.774,0.803,0,-4.959,1,0.0877,0.0307,0,0.347,0.813,117.779,224893,4
AC/DC,You Shook Me All Night Long,0.661,0.908,5,-4.897,1,0.039,0.052,0,0.0708,0.656,144.091,296080,4
The Jacksons,Shake Your Body (Down to the Ground) - Single Edit,0.734,0.586,2,-11.866,1,0.129,0.125,0,0.0367,0.762,109.933,230467,4
Starship,We Built This City,0.408,0.48,9,-11.017,1,0.0266,0.155,1.82e-05,0.0877,0.19,156.344,294773,4
Luther Vandross,Never Too Much,0.641,0.816,1,-3.963,0,0.0285,0.087,0,0.116,0.553,139.185,227133,4
REO Speedwagon,Can't Fight This Feeling,0.376,0.885,2,-7.034,1,0.0775,0.117,0.0104,0.296,0.697,135.619,239960,4
Men At Work,Overkill,0.857,0.451,10,-12.831,0,0.0595,0.0925,0,0.205,0.816,104.963,210467,4
The Psychedelic Furs,Pretty in Pink,0.554,0.833,7,-7.562,1,0.0459,0.128,1.75e-06,0.3,0.95,162.854,226373,4
Sananda Maitreya,Wishing Well,0.714,0.715,4,-9.965,1,0.0387,0.345,0.00567,0.927,0.841,111.036,152267,4
Kenny Loggins,"I'm Alright - Theme from ""Caddyshack""",0.717,0.837,4,-5.49,1,0.0457,0.266,0,0.235,0.68,107.989,238000,4
Willie Nelson,On the Road Again - Live,0.637,0.417,6,-7.224,0,0.0242,0.547,3.38e-05,0.179,0.244,99.191,234933,3
George Michael,I Knew You Were Waiting (For Me),0.526,0.358,4,-7.239,0,0.0243,0.525,0,0.0942,0.399,78.989,238027,3
Whitney Houston,Saving All My Love for You,0.542,0.45,7,-9.931,0,0.0361,0.558,6.43e-06,0.579,0.626,144.437,153840,4
The Bangles,Eternal Flame,0.479,0.89,10,-4.527,1,0.0374,0.000605,0.000345,0.0932,0.795,164.491,202893,4
Soft Cell,Tainted Love,0.609,0.923,9,-3.908,1,0.0338,0.16,4.73e-06,0.295,0.961,115.996,294987,4
Tom Petty,You Wreck Me,0.686,0.915,7,-4.447,1,0.0364,0.0028,7.16e-06,0.233,0.796,110.054,211000,4
Santana,Smooth (feat. Rob Thomas),0.402,0.814,10,-4.954,1,0.14,0.0383,1.19e-06,0.266,0.516,170.02,272267,4
*NSYNC,Tearin' up My Heart - Radio Edit,0.743,0.675,8,-4.267,0,0.0953,0.0251,0.000717,0.0685,0.59,92.909,214400,4
Tom Petty and the Heartbreakers,Mary Jane's Last Dance,0.439,0.931,11,-2.59,0,0.0473,1.92e-05,1.21e-05,0.193,0.527,135.944,234800,4
TLC,No Scrubs,0.633,0.792,1,-6.968,1,0.149,0.185,0.000185,0.152,0.918,175.795,217133,4
Foo Fighters,Learn to Fly,0.757,0.725,0,-4.86,0,0.0315,0.185,5.56e-05,0.568,0.883,92.96,211160,4
Christina Aguilera,Genie in a Bottle,0.765,0.502,9,-7.393,1,0.0321,0.119,0.0011,0.171,0.836,144.204,289440,4
Britney Spears,...Baby One More Time,0.771,0.685,1,-4.639,1,0.0567,0.00543,0.00157,0.0537,0.683,88.997,230200,4
Tom Petty,You Don't Know How It Feels,0.651,0.766,0,-9.935,1,0.0299,0.206,0.00103,0.362,0.949,116.74,242107,4
Destiny's Child,"Jumpin', Jumpin'",0.667,0.728,6,-5.476,0,0.0272,0.161,0,0.199,0.456,99.014,213000,4
Tom Petty and the Heartbreakers,Learning To Fly,0.736,0.811,9,-4.17,0,0.081,0.00132,0.000142,0.107,0.609,103.502,216733,4
Backstreet Boys,I Want It That Way,0.575,0.886,5,-5.182,1,0.034,0.0647,0.000187,0.709,0.609,96.31,244667,4
Crazy Town,Butterfly,0.611,0.831,5,-5.394,0,0.394,0.0972,0,0.308,0.915,174.245,220133,4
Natalie Imbruglia,Torn,0.768,0.864,11,-6.145,1,0.0324,0.101,0,0.162,0.891,110.008,173027,4
Lou Bega,Mambo No. 5 (A Little Bit of...),0.881,0.874,6,-4.505,1,0.139,0.0175,1.14e-06,0.154,0.858,107.891,227933,4
Spice Girls,Wannabe,0.741,0.894,4,-3.826,1,0.0496,0.0814,0.0527,0.089,0.96,114.879,202853,4
Will Smith,Gettin' Jiggy Wit It,0.669,0.727,7,-7.588,1,0.0353,0.139,0,0.123,0.807,102.322,243493,4
Michael Jackson,Black or White - Single Version,0.639,0.849,4,-5.474,0,0.0361,0.0661,0.02,0.15,0.685,90.562,232987,4
Mariah Carey,Fantasy,0.494,0.946,4,-2.757,1,0.0637,0.00129,0,0.398,0.741,103.408,169027,4
Incubus,Drive,0.593,0.642,2,-7.284,1,0.0299,0.313,0.000582,0.0804,0.736,76.403,239440,4
Lit,My Own Worst Enemy,0.706,0.893,10,-4.355,0,0.0449,0.0449,1.04e-06,0.301,0.611,108.006,225253,4
Macy Gray,I Try,0.753,0.946,8,-2.149,0,0.0402,0.0743,0.000369,0.401,0.865,112.041,199787,4
Backstreet Boys,Everybody (Backstreet's Back) - Radio Edit,0.68,0.625,11,-7.0,0,0.0353,0.0645,5.81e-05,0.109,0.814,94.02,266000,4
*NSYNC,I Want You Back - Radio Edit,0.675,0.553,7,-7.775,1,0.0486,0.0863,7.58e-06,0.118,0.594,90.02,239933,4
Jennifer Lopez,If You Had My Love,0.415,0.867,11,-5.497,0,0.0387,5.69e-05,0.000192,0.0883,0.36,157.902,249987,4
Train,Meet Virginia,0.713,0.678,5,-3.525,0,0.102,0.273,0,0.149,0.734,138.009,271333,4
Foo Fighters,Everlong,0.765,0.29,4,-17.117,0,0.139,0.0279,0,0.571,0.506,92.409,298773,4
Destiny's Child,Say My Name,0.755,0.827,0,-6.803,1,0.114,0.0671,0,0.329,0.797,142.122,215867,4
Fugees,Killing Me Softly With His Song,0.537,0.84,9,-4.626,1,0.0363,0.2,2.15e-06,0.0998,0.211,124.269,224693,4
Christina Aguilera,What a Girl Wants,0.748,0.939,0,-4.288,0,0.0341,0.0534,0,0.32,0.96,104.001,198067,4
Tal Bachman,She's so High,0.623,0.669,0,-9.985,1,0.0412,0.211,3.2e-06,0.111,0.492,94.028,245200,4
Britney Spears,(You Drive Me) Crazy,0.799,0.841,11,-4.384,0,0.0341,0.0958,2.05e-06,0.186,0.935,100.041,233107,4
Des'ree,You Gotta Be,0.659,0.949,6,-4.682,1,0.105,0.123,0,0.133,0.512,92.025,229360,4
Backstreet Boys,Quit Playing Games (With My Heart),0.643,0.563,4,-7.134,1,0.0357,0.53,0,0.149,0.492,78.95,258253,4
Jamiroquai,Virtual Insanity - Remastered,0.801,0.581,5,-8.491,0,0.0681,0.0968,0.000318,0.0971,0.656,107.545,227267,4
Mariah Carey,Always Be My Baby,0.483,0.818,11,-7.666,1,0.0444,0.114,0,0.367,0.691,175.668,219467,4
Will Smith,"Men In Black - From ""Men In Black"" Soundtrack",0.541,0.7,0,-8.416,1,0.0348,8.86e-05,5.12e-05,0.0976,0.612,119.56,232560,4
Eve 6,Inside Out,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,211160,4
Eagle-Eye Cherry,Save Tonight,0.425,0.954,1,-3.756,0,0.0476,0.00414,0,0.0555,0.933,178.043,243160,4
Britney Spears,Oops!...I Did It Again,0.442,0.943,3,-3.205,1,0.0602,0.00293,8.71e-06,0.091,0.781,85.064,181533,4
Ricky Martin,Livin' la Vida Loca,0.383,0.662,2,-5.162,1,0.0333,0.165,0,0.248,0.138,121.154,298760,4
Green Day,Basket Case,0.613,0.72,0,-7.957,1,0.0425,0.0132,0,0.104,0.561,117.341,265867,4
Aerosmith,"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",0.622,0.692,7,-6.97,1,0.0276,0.363,0.000158,0.193,0.774,112.053,195467,4
Soul Asylum,Runaway Train (2022 Remaster),0.777,0.601,2,-5.931,1,0.126,0.0406,0.00201,0.0348,0.68,97.911,261973,4
Pearl Jam,Last Kiss,0.546,0.643,6,-4.069,0,0.0437,0.0745,0,0.213,0.704,181.838,229227,4
Santana,Maria Maria (feat. The Product G&B),0.263,0.784,7,-6.514,1,0.054,0.00192,0,0.15,0.385,114.671,214040,4
Robyn,Show Me Love - Radio Version,0.877,0.534,1,-6.178,1,0.15,0.0339,1.67e-05,0.0441,0.89,108.17,197560,4
Fuel,Shimmer,0.795,0.56,2,-8.908,1,0.0659,0.00867,0,0.226,0.635,99.922,240667,4
Will Smith,Miami,0.722,0.595,1,-9.928,0,0.0415,0.284,0.00054,0.0694,0.738,79.981,217827,4
Ms. Lauryn Hill,Doo Wop (That Thing) - Edit,0.761,0.65,5,-6.865,0,0.0588,0.0375,0,0.086,0.932,164.092,219547,4
Dido,Thank You,0.566,0.705,0,-7.569,1,0.0311,0.43,0,0.109,0.781,168.152,279400,4
Usher,You Make Me Wanna...,0.517,0.598,6,-3.751,0,0.263,0.388,2.22e-06,0.183,0.922,96.933,221627,4
Savage Garden,Truly Madly Deeply,0.811,0.458,5,-9.688,0,0.0402,0.0193,1.41e-06,0.0526,0.797,92.94,268533,4
Destiny's Child,"Independent Women, Pt. 1",0.761,0.735,9,-8.171,0,0.043,0.0426,0.0838,0.0917,0.592,125.815,164267,4
TLC,Creep,0.897,0.611,11,-10.489,1,0.211,0.0291,0.186,0.0894,0.769,102.304,208267,4
CAKE,Never There,0.749,0.605,8,-9.359,0,0.086,0.00186,0.0381,0.115,0.966,142.024,251733,4
Cypress Hill,Insane in the Brain,0.607,0.422,10,-13.364,0,0.499,0.209,0,0.0839,0.563,130.47,226987,3
Ginuwine,Pony,0.343,0.281,4,-9.534,1,0.0368,0.605,0.000296,0.0951,0.121,133.454,274693,4
Fugees,Ready or Not,0.831,0.921,5,-2.383,0,0.0582,0.153,0.00224,0.305,0.795,108.002,239227,4
Whitney Houston,I Will Always Love You - Film Version,0.68,0.897,5,-7.32,1,0.0415,0.165,1.91e-05,0.0668,0.894,91.776,321803,4
Michael Jackson,Remember the Time,0.75,0.914,10,-5.707,0,0.0704,0.13,2.33e-05,0.392,0.673,99.083,201200,4
George Michael,Freedom! '90 - Edit,0.818,0.653,1,-8.396,1,0.204,0.0335,5.46e-06,0.22,0.533,99.931,261133,4
Jimmy Ray,Are You Jimmy Ray?,0.412,0.829,4,-11.112,1,0.529,0.394,0,0.108,0.677,191.476,265533,4
Pras,Ghetto Supastar (That is What You Are) (feat. Ol' Dirty Bastard & Mýa),0.845,0.576,11,-5.15,0,0.153,0.139,0,0.0764,0.461,127.641,256027,4
LEN,Steal My Sunshine,0.745,0.742,10,-5.693,1,0.0259,0.42,0,0.102,0.806,95.996,245067,4
Destiny's Child,"Bills, Bills, Bills",0.814,0.808,7,-5.034,1,0.155,0.161,0,0.0616,0.738,99.816,257333,4
Britney Spears,Sometimes,0.632,0.894,7,-5.211,1,0.0317,0.00622,0,0.328,0.718,102.039,268640,4
LFO,Summer Girls,0.694,0.941,10,-6.108,0,0.0408,0.00224,0.0826,0.109,0.854,125.014,246507,4
Third Eye Blind,Semi-Charmed Life - 2006 Remaster,0.712,0.967,7,-5.206,1,0.047,0.0771,0,0.356,0.895,145.024,287733,4
Jennifer Lopez,Waiting for Tonight,0.648,0.622,7,-6.063,1,0.0428,0.00152,5.97e-05,0.109,0.51,88.684,278067,4
Billy Joel,We Didn't Start the Fire,0.885,0.477,6,-9.196,0,0.0664,0.000131,0.000664,0.336,0.691,130.078,346840,4
TLC,Unpretty,0.628,0.478,2,-6.526,0,0.0269,0.432,0,0.124,0.124,109.926,268320,4
Ghost Town DJs,My Boo - Hitman's Club Mix,0.749,0.562,0,-8.45,1,0.0281,0.215,1.1e-06,0.105,0.807,115.008,253296,4
Toni Braxton,Un-Break My Heart,0.802,0.828,4,-6.366,0,0.0426,0.0127,0.0683,0.0293,0.946,97.01,189787,4
Annie Lennox,Walking on Broken Glass,0.615,0.702,7,-9.686,1,0.0278,0.00746,0.00431,0.0608,0.734,96.987,234333,4
Ace of Base,The Sign,0.501,0.378,4,-9.37,1,0.029,0.735,0,0.119,0.178,119.987,257733,4
Pearl Jam,Daughter - Remastered,0.433,0.364,4,-8.842,1,0.0293,0.707,3.75e-06,0.171,0.0385,98.981,281253,1
Mariah Carey,Hero,0.52,0.709,5,-7.125,0,0.0352,0.247,1.78e-05,0.18,0.536,76.039,263560,4
Céline Dion,"My Heart Will Go On - Love Theme from ""Titanic""",0.515,0.903,0,-8.832,1,0.0443,0.014,0.0218,0.38,0.927,116.44,232720,4
